1,홍길동,86,27,98,211,70.3333333333,13
2,유관순,64,54,38,156,52,41
3,이순신,37,17,47,101,33.6666666667,48
4,강감찬,37,63,4,104,34.6666666667,73
5,김구,6,49,81,136,45.3333333333,31
6,김유신,44,11,78,133,44.3333333333,94
7,홍길자,82,97,32,211,70.3333333333,92
8,홍길순,12,68,100,180,60,22
9,길동스,74,28,99,201,67,17
10,관순스,33,52,68,153,51,30
11,순신스,82,84,92,258,86,21
12,Adela,40,6,27,73,24.3333333333,79
13,Lutero,26,97,100,223,74.3333333333,76
14,Harrie,87,81,53,221,73.6666666667,47
15,Anne-marie,54,97,54,205,68.3333333333,62
16,Constantine,53,76,13,142,47.3333333333,27
17,Jory,18,70,33,121,40.3333333333,44
18,Jacenta,53,31,66,150,50,29
19,Dorisa,32,1,39,72,24,83
20,Beverly,86,95,35,216,72,16
21,Beverlie,63,13,92,168,56,32
22,Orville,37,7,99,143,47.6666666667,17
23,Amara,73,40,72,185,61.6666666667,29
24,Joleen,4,16,74,94,31.3333333333,24
25,Catriona,1,6,11,18,6,64
26,Aguie,72,25,35,132,44,88
27,Cletis,76,34,71,181,60.3333333333,30
28,Moyra,1,90,19,110,36.6666666667,62
29,Jaimie,79,86,79,244,81.3333333333,52
30,Lucretia,99,30,27,156,52,33
31,Sheri,69,12,91,172,57.3333333333,79
32,Creight,66,62,84,212,70.6666666667,67
33,Brant,36,30,65,131,43.6666666667,77
34,Liv,39,4,82,125,41.6666666667,7
35,Alyse,9,37,58,104,34.6666666667,50
36,Clotilda,92,49,73,214,71.3333333333,21
37,Boigie,59,45,96,200,66.6666666667,85
38,Belia,77,28,36,141,47,64
39,Gerick,49,50,16,115,38.3333333333,63
40,Mycah,25,90,35,150,50,81
41,Zandra,6,50,7,63,21,3
42,Pippa,64,59,29,152,50.6666666667,42
43,Christalle,75,17,80,172,57.3333333333,23
44,Shaylynn,78,1,22,101,33.6666666667,37
45,Ainslee,10,5,20,35,11.6666666667,77
46,Miguel,63,43,99,205,68.3333333333,37
47,Edlin,35,45,28,108,36,86
48,Milissent,13,82,10,105,35,82
49,Gray,15,10,93,118,39.3333333333,48
50,Viola,12,12,45,69,23,65
